,SquaredReturn,Trailing30DayVol,NaiveVariance,GARCHVariance,EGARCHVariance,NaiveForecast,GARCHForecast,EGARCHForecast
2024-01-02,3.1494945481350805e-05,0.0842393433779978,2.624450965479086e-05,4.053457464843941e-05,3.8333472564745894e-05,0.0813241442193356,0.10106786240643824,0.09828547749446999
2024-01-03,6.724235483145647e-05,0.089046667614103,2.8159789574429448e-05,4.323478530240084e-05,4.9117432404780226e-05,0.0842393433779978,0.10437991136327436,0.11125463121148987
2024-01-04,1.0409277526596061e-05,0.0880175395957463,3.146551195704976e-05,5.2453772049578505e-05,6.878730552828245e-05,0.089046667614103,0.1149710857411279,0.1316601723875796
2024-01-05,1.8736098486633664e-06,0.087475180706944,3.074240982733638e-05,4.828672300649858e-05,6.920931414080012e-05,0.08801753959574629,0.11030981006981039,0.1320634209896201
2024-01-08,0.00020092804235741254,0.0949927548421547,3.0364711268700427e-05,4.208452410621329e-05,5.872424314352912e-05,0.087475180706944,0.10298203763164598,0.1216491235980323
2024-01-09,2.3049727828258682e-06,0.0953735697965429,3.580802965278455e-05,6.831955302914558e-05,5.575539369029069e-05,0.0949927548421547,0.13121176533887763,0.11853421113734741
2024-01-10,3.180433034730206e-05,0.0955945946923941,3.6095705618000166e-05,5.89668672327615e-05,5.27849964025307e-05,0.0953735697965429,0.12190016629461954,0.11533351244732702
2024-01-11,1.9445289149542915e-07,0.095778813562354,3.626320053334565e-05,5.456033483648935e-05,4.712266389493018e-05,0.0955945946923941,0.11725700140629265,0.10897206661123027
2024-01-12,4.797061914389994e-07,0.0955635551941898,3.640309971195304e-05,4.7325250698841025e-05,4.266071140694188e-05,0.095778813562354,0.109206058330607,0.10368461445436036
2024-01-16,1.3526686150871903e-05,0.0965698654053591,3.6239655084733966e-05,4.127821345888856e-05,3.6901203358373006e-05,0.0955635551941898,0.10199073385185498,0.09643185804655015
2024-01-17,3.1071724878736654e-05,0.0977071543585121,3.7006900414322114e-05,4.0081263557211663e-05,4.206156893941877e-05,0.0965698654053591,0.10050113639366144,0.10295394782490631
2024-01-18,7.838450055834311e-05,0.0983090212320205,3.788368259062742e-05,4.278829296335582e-05,5.258666786327546e-05,0.0977071543585121,0.10383953884126058,0.11511663781376442
2024-01-19,0.00015348784107001057,0.103020588125972,3.835183990316609e-05,4.891851546933795e-05,4.826808528904536e-05,0.0983090212320205,0.11102912184770788,0.1102885193156542
2024-01-22,4.460923301367161e-06,0.1014341788603514,4.211603800722684e-05,6.59459021076083e-05,4.606400507308775e-05,0.103020588125972,0.1289122466297027,0.10774102876071916
2024-01-23,8.481862394801847e-06,0.1001563712731617,4.0828939051879994e-05,5.6363665354915934e-05,4.0210137918701114e-05,0.1014341788603514,0.11917904039485641,0.10066257872473107
2024-01-24,1.1936349884172435e-06,0.0999545727303327,3.980674089923575e-05,4.920734079728652e-05,3.565157034334618e-05,0.1001563712731617,0.11135640924938359,0.09478499737048705
2024-01-25,2.942230720079191e-05,0.1003180955525226,3.964649448294988e-05,4.278049540371764e-05,3.1248106553178996e-05,0.0999545727303327,0.10383007676842412,0.0887385082779799
2024-01-26,1.6161289395532482e-06,0.1004304743434334,3.993539799716291e-05,4.13297760881101e-05,2.8938228859461828e-05,0.1003180955525226,0.102054414770767,0.08539574739168444
2024-01-29,6.222235289455252e-05,0.0957376215015815,4.002492133669458e-05,3.730080753396272e-05,2.8947544134648278e-05,0.1004304743434334,0.09695258376422264,0.08540949081882743
2024-01-30,5.986540388404369e-07,0.0958434557723193,3.6371794328492374e-05,4.200004146244286e-05,2.7744280413053574e-05,0.0957376215015815,0.1028786199777952,0.08361554080486175
2024-01-31,0.00027066775728960254,0.1087288240173926,3.645225402531955e-05,3.7504965375853305e-05,2.686087467526912e-05,0.0958434557723193,0.0972175461257639,0.08227357059328237
2024-02-01,0.0001690850354312578,0.1134904270147812,4.691252846113147e-05,8.618173002287061e-05,8.66644345107541e-05,0.1087288240173926,0.14736958969123648,0.14778172247172527
2024-02-02,0.00010967111397672488,0.1158294914500405,5.1111416761894356e-05,9.814843435477401e-05,7.853513580827128e-05,0.1134904270147812,0.1572685774635323,0.1406799709400182
2024-02-05,1.3306745582178771e-05,0.1075585811993865,5.3239964641170656e-05,9.797532117726215e-05,7.055498765253647e-05,0.1158294914500405,0.1571298219201882,0.13334112977037202
2024-02-06,8.40484640543826e-06,0.1051053334584363,4.5908128530258005e-05,8.513611833823825e-05,7.216429903536913e-05,0.1075585811993865,0.14647287059806002,0.13485326602241796
2024-02-07,6.898702675580388e-05,0.1069552536521107,4.383782191035353e-05,7.20862998637029e-05,6.178412757472755e-05,0.1051053334584363,0.1347803678792024,0.12477820382114554
2024-02-08,1.9494587609530863e-07,0.1067366073886645,4.539454874518785e-05,7.073645053005819e-05,5.570841507805554e-05,0.1069552536521107,0.1335124920506492,0.11848426308869038
2024-02-09,3.321015319089548e-05,0.1074322232110081,4.520914030492821e-05,5.992742531639612e-05,4.752527608822854e-05,0.1067366073886645,0.1228890197687809,0.10943660070668128
2024-02-12,1.9282161583759034e-07,0.1075445249461715,4.580032771452328e-05,5.553468780647252e-05,4.279625543617114e-05,0.1074322232110081,0.11829937162652672,0.10384920014095017
2024-02-13,0.0001923413133527458,0.1159532098266189,4.589613034086391e-05,4.809950370890926e-05,3.9024939284005065e-05,0.1075445249461715,0.11009575348143602,0.09916796206219666
2024-02-14,8.18413786244698e-05,0.1161529423285023,5.335375741704726e-05,8.004719358832621e-05,8.41252434972262e-05,0.1159532098266189,0.14202778877479647,0.14560069148634222
2024-02-15,4.728073238136153e-05,0.1130748442730988,5.35377222681285e-05,7.910813086079738e-05,7.442171216347854e-05,0.1161529423285023,0.14119224120652288,0.13694623567370004
2024-02-16,2.4925460990534695e-05,0.1139351108481583,5.073777939438708e-05,7.293348147952521e-05,6.544937909722813e-05,0.1130748442730988,0.13557004585394353,0.12842602357973049
2024-02-20,3.0476238850935613e-05,0.116112910929577,5.151273604754809e-05,6.766531435402654e-05,7.230859862564101e-05,0.1139351108481583,0.13058200188852478,0.13498802485280512
2024-02-21,8.197661706429468e-07,0.1102365634629071,5.350082573230112e-05,6.461046247958217e-05,8.04244651200671e-05,0.116112910929577,0.12760029994030073,0.1423620919003964
2024-02-22,0.0004196068846765899,0.1226575330196853,4.822261874647438e-05,5.5024312005687705e-05,6.748757874344428e-05,0.1102365634629071,0.11775451849263918,0.1304103900897009
2024-02-23,4.7521486222028456e-07,0.122319631810523,5.970186669236186e-05,0.00011519397230750553,6.624960752299702e-05,0.1226575330196853,0.1703786401562455,0.1292087500744251
2024-02-26,1.3463325706600411e-05,0.1232611228090803,5.937338224707107e-05,9.52680437632196e-05,5.605124990288062e-05,0.122319631810523,0.15494368986290258,0.11884828553885797
2024-02-27,3.4448276984558235e-06,0.1231990016168959,6.0290890460933234e-05,8.301648182957464e-05,5.9442480536771715e-05,0.1232611228090803,0.14463800821724837,0.12239078844123226
2024-02-28,1.749045659298984e-06,0.1224340244467882,6.023013491825364e-05,6.984171009933506e-05,5.104330343259027e-05,0.1231990016168959,0.13266540975338084,0.11341478062850868
2024-02-29,1.287748566518501e-05,0.120285393327826,5.9484485485066396e-05,6.002091985088493e-05,4.823923445935448e-05,0.1224340244467882,0.12298484379151362,0.11025555352796217
2024-03-01,8.73180179531612e-05,0.1205212091927195,5.741498352392781e-05,5.2686397182186896e-05,4.255680879428676e-05,0.120285393327826,0.1152257440414732,0.10355827256265075
2024-03-04,1.1511423229501908e-06,0.1171435079997374,5.764032486220339e-05,5.821659004288666e-05,3.997505263963208e-05,0.1205212091927195,0.121122172581272,0.10036788961210295
2024-03-05,0.00010089258699204247,0.1222326730969675,5.4454767724144996e-05,5.05926632907157e-05,3.813226274101215e-05,0.1171435079997374,0.11291302471043965,0.09802719118048349
2024-03-06,2.5548171456823636e-05,0.1225900995656277,5.9288993541389384e-05,6.478468399359983e-05,6.504767768619475e-05,0.1222326730969675,0.12777222063651847,0.1280313038944815
2024-03-07,9.756275134624447e-05,0.1248544313867969,5.963624012504173e-05,5.8263817741803526e-05,5.696700698462507e-05,0.1225900995656277,0.12117129227228077,0.11981521506104939
2024-03-08,3.6242474998430755e-05,0.1264914668474362,6.185963903539832e-05,6.429562115816172e-05,5.237581101720535e-05,0.1248544313867969,0.12728902753912746,0.11488561431413312
2024-03-11,7.401059322375469e-07,0.1264165520690131,6.349242533815893e-05,6.309522009221402e-05,6.388089626301586e-05,0.1264914668474362,0.12609518413975188,0.12687783832600552
2024-03-12,0.00011448528734659144,0.1278871565018021,6.34172406230853e-05,5.433719082898928e-05,5.7740348657852656e-05,0.1264165520690131,0.1170169735077151,0.1206257346579861
2024-03-13,2.460242253337662e-06,0.1280407233324283,6.490128888141438e-05,6.390207636059273e-05,5.338142862763781e-05,0.1278871565018021,0.1268988701402395,0.11598327471736918
2024-03-14,3.915805455757134e-06,0.1166104005066124,6.505724933131528e-05,5.549524758967066e-05,5.0902620364888516e-05,0.1280407233324283,0.1182573566108976,0.11325837863907423
2024-03-15,4.747580495614306e-05,0.1147504154764602,5.396025994568471e-05,4.918744685080509e-05,4.990874326159686e-05,0.1166104005066124,0.11133389693351654,0.11214723938609639
2024-03-18,3.511231717009346e-05,0.1123866164634648,5.2252610523889826e-05,5.331576822961364e-05,6.463260100510572e-05,0.1147504154764602,0.11591192170722836,0.12762215894305598
2024-03-19,3.071049897031451e-05,0.1120058835977616,5.012203000042039e-05,5.0560789398989505e-05,5.700989870370183e-05,0.1123866164634648,0.11287745093040219,0.11986031233620602
2024-03-20,8.476903542297076e-05,0.1140970118857704,4.9783007779822706e-05,4.7710290269346925e-05,5.057644284359852e-05,0.1120058835977616,0.10964941015744419,0.11289492281137725
2024-03-21,1.0882494230196653e-05,0.1125456859481949,5.1659238576435044e-05,5.385094516548644e-05,4.672186144295122e-05,0.1140970118857704,0.11649222369627332,0.10850764527729698
2024-03-22,3.600022749912517e-06,0.1129723853418109,5.026401359345125e-05,4.75144181436957e-05,4.11931704929352e-05,0.1125456859481949,0.10942409868128372,0.10188561706256517
2024-03-25,7.653725078636363e-06,0.1129462236331083,5.064587241991511e-05,4.2758559158688006e-05,4.122891970871911e-05,0.1129723853418109,0.10380345325657224,0.10192981784834708
2024-03-26,3.4182856947046276e-06,0.113210190960911,5.0622418384841716e-05,3.995064379418157e-05,4.3537597000758176e-05,0.1129462236331083,0.10033724251808875,0.10474480628742917
2024-03-27,7.003897716142062e-05,0.1054516909457153,5.0859314830975934e-05,3.6694962707275394e-05,4.315739636757165e-05,0.113210190960911,0.09616200186265571,0.10428645110764895
2024-03-28,3.657157572299669e-08,0.1034758261614026,4.412721874329624e-05,4.274870699883303e-05,4.011586617165558e-05,0.1054516909457153,0.10379149369628478,0.10054450892643121
2024-04-01,3.032846310628439e-06,0.1027434170640329,4.248907380866989e-05,3.7826022459820604e-05,3.6197352600297625e-05,0.1034758261614026,0.0976327693957044,0.09550776332463766
2024-04-02,4.068136374254229e-05,0.1035695289723528,4.1889721230134146e-05,3.490463312905761e-05,3.644158993205058e-05,0.1027434170640329,0.09378681969510703,0.09582943526326734
2024-04-03,1.205322912223983e-06,0.1014994458147511,4.2566060839504074e-05,4.059981565892613e-05,4.97622227464441e-05,0.1035695289723528,0.1011491648312006,0.11198249922244062
2024-04-04,0.00015083078994470854,0.1091769990619333,4.088149801865711e-05,3.6025911842812684e-05,4.294766995504687e-05,0.1014994458147511,0.09528131917846644,0.10403274882781773
2024-04-05,0.00010800878748932754,0.0968717831359787,4.7300067953053115e-05,6.210914758483288e-05,7.984777679153926e-05,0.1091769990619333,0.1251059758419952,0.14185076577681172
2024-04-08,3.128602382463393e-07,0.0968739660040356,3.723866019025432e-05,6.882335403356572e-05,7.153291695441988e-05,0.0968717831359787,0.13169466662116033,0.13426203883642543
2024-04-09,1.3363428553669255e-06,0.095940454463829,3.724033844980573e-05,5.857145133980534e-05,6.0365740595157116e-05,0.0968739660040356,0.12149076400134681,0.1233376123896502
2024-04-10,0.00010127673363777531,0.1010669181739386,3.652607461399225e-05,5.038311086301254e-05,5.1605258726289184e-05,0.095940454463829,0.11267894185463032,0.11403738509377034
2024-04-11,5.6527357981291396e-05,0.1028584737234769,4.0533817258641275e-05,6.438482352073096e-05,7.874092079415999e-05,0.1010669181739386,0.12737729596448577,0.14086416165983567
2024-04-12,0.00019318373255180024,0.1110034025654056,4.1983593717155505e-05,6.263365328821913e-05,6.927974683178684e-05,0.1028584737234769,0.12563311915506684,0.1321306028201275
2024-04-15,0.00015894416097897885,0.1136361599928483,4.889585468689482e-05,9.112954754800527e-05,0.00011541036043736574,0.1110034025654056,0.15154090530974576,0.17053859044279734
2024-04-16,3.332505018681795e-06,0.1136930974818913,5.124276530920721e-05,0.00010760784937772493,0.00015347455682772476,0.1136361599928483,0.16467294265660853,0.1966611001713014
2024-04-17,3.523321947801223e-05,0.1112851718444809,5.1294128631058876e-05,9.077344663240236e-05,0.00013410706928098463,0.1136930974818913,0.1512445323023791,0.1838341139691111
2024-04-18,4.242623793128597e-06,0.1101959428131997,4.914440266847478e-05,8.404360580241201e-05,0.00013632810216616603,0.1112851718444809,0.14553002666875253,0.18535015982154923
2024-04-19,7.685635701402019e-05,0.1080605130451453,4.818708655749991e-05,7.218166215872097e-05,0.00012130725953065362,0.1101959428131997,0.13486948826179213,0.17484115477119427
2024-04-22,8.403483226023248e-05,0.1110885487339771,4.6337597141190547e-05,7.720345190769788e-05,0.00013865339163743565,0.1080605130451453,0.13948214896803054,0.18692419504342872
2024-04-23,0.00013916402783488435,0.1168262243994616,4.8970895475480964e-05,7.711520554796577e-05,0.00011826044078446672,0.1110885487339771,0.13940240958494002,0.17263148924134789
2024-04-24,2.2534297596042223e-07,0.1121058522857062,5.4160185346957756e-05,8.575241798380919e-05,0.00010349905475383701,0.1168262243994616,0.1470020725429404,0.16149848853152443
2024-04-25,1.4488062637821043e-05,0.1124543025515283,4.98719131615261e-05,7.238330488178882e-05,8.891309616792061e-05,0.1121058522857062,0.13505773887567785,0.14968667353614348
2024-04-26,8.891396320313297e-05,0.1161386799223841,5.0182421279169306e-05,6.51530219222244e-05,8.868403692665036e-05,0.1124543025515283,0.12813493483199867,0.14949373667654403
2024-04-29,1.2497434224509169e-05,0.1149478204010475,5.3524575294103105e-05,6.82537230322919e-05,7.829928424187303e-05,0.1161386799223841,0.13114853489131154,0.14046857167691285
2024-04-30,0.00025497632162026413,0.1224353907941099,5.243254529742648e-05,5.932885071657399e-05,6.710539188756396e-05,0.1149478204010475,0.12227375180543307,0.13004060425753997
2024-05-01,1.0579139132633915e-05,0.1211769267351818,5.948581317026353e-05,9.974266422923457e-05,0.0001250145952690991,0.1224353907941099,0.1585406931540515,0.1774927548037186
2024-05-02,8.667453832406706e-05,0.1212526503560814,5.826923640072864e-05,8.616429371064266e-05,0.00011694264450928189,0.1211769267351818,0.14735468100838178,0.17166696367192796
2024-05-03,0.00015176123273440527,0.1267292019495947,5.834208419989733e-05,8.468313001038194e-05,0.00010105124518721433,0.1212526503560814,0.14608267783216547,0.15957729721729846
2024-05-06,0.00010555178249502218,0.1305839848382429,6.373131201103633e-05,9.380916964059543e-05,8.985060632672918e-05,0.1267292019495947,0.15375275850998593,0.1504737611490314
2024-05-07,1.2166024782490199e-06,0.1304298637994717,6.76673694295018e-05,9.37510335079806e-05,7.966868227605958e-05,0.1305839848382429,0.15370510871149048,0.14169159443512172
2024-05-08,9.331232247707014e-09,0.1303339849879838,6.750773559820927e-05,7.847226396755259e-05,6.711642790148506e-05,0.1304298637994717,0.14062364850843279,0.13005129692230769
2024-05-09,3.300949757805318e-05,0.1290675305277534,6.740852239225391e-05,6.636234651839347e-05,5.78125808855804e-05,0.1303339849879838,0.12931864259508433,0.12070116148225857
2024-05-10,1.6573982947357326e-06,0.1291387034848222,6.610487077989111e-05,6.06919305448826e-05,5.133678162108043e-05,0.1290675305277534,0.1236703945870248,0.11374035769467349
2024-05-13,1.7987619808257125e-08,0.1290512680102638,6.617779657833663e-05,5.209268362549244e-05,4.430468407559693e-05,0.1291387034848222,0.11457467553357546,0.10566352439252832
